Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Ellinghausen,166P,4,9,,10.18,1.061,,,23,0.758,0.3585938486,,,0.2374805402,20.00,0.20
Ellinghausen,166P,4,9,,10.18,1.061,,,30,0.778,0.3585938486,,,0.245474818,20.00,0.20
Ellinghausen,166P,4,9,,10.18,1.061,,,43,0.798,0.3585938486,,,0.2534690958,20.00,0.20
Ellinghausen,166P,4,9,,10.18,1.061,,,60,0.824,0.3585938486,,,0.2638616569,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,2,0.532,0.4441326209,,,0.1471452013,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,4,0.608,0.4441326209,,,0.1775234569,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,12,0.721,0.4441326209,,,0.2226911264,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,23,0.82,0.4441326209,,,0.2622628014,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,30,0.842,0.4441326209,,,0.2710565069,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,43,0.893,0.4441326209,,,0.2914419153,20.00,0.20
Reckenholz,166P,3,10,,10.05,1.275,,,60,0.913,0.4441326209,,,0.299436193,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,2,0.647,0.4409349097,,,0.1931122986,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,4,0.713,0.4409349097,,,0.2194934152,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,12,0.793,0.4409349097,,,0.2514705264,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,23,0.841,0.4409349097,,,0.270656793,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,30,0.863,0.4409349097,,,0.2794504986,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,43,0.872,0.4409349097,,,0.2830479236,20.00,0.20
Reckenholz,166P,4,11,,10.03,1.267,,,60,0.885,0.4409349097,,,0.2882442041,20.00,0.20
Rümlang,166P,3,12,,10.22,0.925,,,2,0.515,0.3042327597,,,0.1403500652,20.00,0.20
Rümlang,166P,3,12,,10.22,0.925,,,4,0.566,0.3042327597,,,0.1607354736,20.00,0.20
Rümlang,166P,3,12,,10.22,0.925,,,12,0.615,0.3042327597,,,0.1803214541,20.00,0.20
Rümlang,166P,3,12,,10.22,0.925,,,23,0.671,0.3042327597,,,0.2027054319,20.00,0.20
Rümlang,166P,3,12,,10.22,0.925,,,30,0.687,0.3042327597,,,0.2091008541,20.00,0.20
Rümlang,166P,3,12,,10.22,0.925,,,43,0.687,0.3042327597,,,0.2091008541,20.00,0.20
Rümlang,166P,4,12,,10.22,0.925,,,60,0.705,0.3042327597,,,0.2162957041,20.00,0.20
Rümlang,166P,4,13,,10.15,0.594,,,2,0.369,0.1719274624,,,0.08199183742,20.00,0.20
Rümlang,166P,4,13,,10.15,0.594,,,4,0.389,0.1719274624,,,0.0899861152,20.00,0.20
Rümlang,166P,4,13,,10.15,0.594,,,12,0.421,0.1719274624,,,0.1027769596,20.00,0.20
Rümlang,166P,4,13,,10.15,0.594,,,23,0.446,0.1719274624,,,0.1127698069,20.00,0.20
Rümlang,166P,3,13,,10.15,0.594,,,30,0.463,0.1719274624,,,0.119564943,20.00,0.20
Rümlang,166P,3,13,,10.15,0.594,,,43,0.449,0.1719274624,,,0.1139689485,20.00,0.20
Rümlang,166P,3,13,,10.15,0.594,,,60,0.496,0.1719274624,,,0.1327555013,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,2,0.277,0.1131695208,,,0.04521815963,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,4,0.301,0.1131695208,,,0.05481129297,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,12,0.319,0.1131695208,,,0.06200614297,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,23,0.334,0.1131695208,,,0.06800185131,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,30,0.344,0.1131695208,,,0.0719989902,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,43,0.342,0.1131695208,,,0.07119956242,20.00,0.20
Rümlang,100P,3,14,,10.2,0.447,,,60,0.343,0.1131695208,,,0.07159927631,20.00,0.20
